collision_severity,day_of_week,time,road_type,speed_limit,urban_or_rural_area,junction_detail,junction_control,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,number_of_vehicles,number_of_casualties,vehicle_type_mode,any_skidding,avg_vehicle_age,worst_casualty_severity,any_pedestrian,avg_casualty_age
3,7,18:00,3,70,2,0,-1,1,1,2,0,2,1,9,0,13.5,3,0,56.0
3,7,02:10,6,30,1,13,4,4,1,1,0,3,2,9,1,4.666666666666667,3,0,20.0
3,5,09:15,6,30,1,13,4,1,1,2,0,2,1,9,0,8.0,3,0,73.0
3,4,10:01,6,30,1,13,4,1,1,1,0,1,1,9,0,7.0,3,0,85.0
3,4,07:56,6,60,2,0,-1,1,2,2,0,2,2,9,0,10.0,3,0,45.0
2,7,10:53,6,40,2,0,-1,1,1,1,0,2,1,5,0,2.5,2,0,59.0
3,1,23:00,6,30,1,13,4,7,2,2,0,1,1,9,0,9.0,3,1,35.0
3,2,17:04,6,60,1,18,4,1,1,1,0,2,1,3,0,3.0,3,0,42.0
3,7,17:18,6,30,1,0,-1,4,1,2,0,2,1,9,0,1.0,3,0,17.0
2,7,19:00,6,60,2,0,-1,6,1,1,0,1,1,9,5,14.0,2,0,30.0
3,3,14:10,3,40,1,0,-1,1,1,1,0,2,1,9,0,15.5,3,0,34.0
3,2,06:50,3,70,2,0,-1,6,1,1,0,3,1,9,0,7.0,3,0,56.0
2,1,16:15,6,40,1,13,2,1,1,1,0,2,3,9,0,6.5,2,0,57.66666666666666
3,5,11:45,6,60,2,0,-1,1,1,1,0,2,1,1,0,7.0,3,0,84.0
3,7,16:37,6,50,2,0,-1,1,1,1,0,2,1,9,0,13.0,3,0,75.0
2,6,19:30,6,30,2,0,4,4,8,4,12,1,2,5,0,18.0,2,0,50.0
3,5,16:36,6,30,2,18,4,1,1,1,0,2,1,9,0,2.0,3,1,26.0
3,2,17:10,6,60,2,0,-1,6,1,1,0,2,1,9,0,11.5,3,0,22.0
3,6,12:35,6,60,2,13,4,1,4,2,0,2,3,9,0,9.5,3,0,79.0
2,2,18:28,6,40,2,0,-1,1,1,1,0,2,2,9,1,3.0,2,0,52.0
3,6,16:50,6,30,2,16,4,1,1,1,0,1,1,19,0,9.0,3,1,37.0
3,3,13:43,6,60,2,13,1,1,1,1,0,3,3,9,0,11.666666666666666,3,0,42.333333333333336
3,2,17:09,1,30,2,0,4,1,1,1,0,2,4,9,0,9.0,3,0,68.25
3,6,08:15,6,30,1,13,4,1,1,1,0,2,1,9,0,9.0,3,0,17.0
3,5,14:00,2,30,1,13,4,1,8,2,0,2,1,9,0,9.0,3,0,63.0
3,1,03:00,6,30,1,13,4,7,1,1,0,2,1,9,0,13.5,3,0,51.0
3,2,18:41,6,30,1,13,4,1,1,1,0,1,1,19,0,12.0,3,1,8.0
3,6,12:18,6,30,1,16,4,1,1,1,0,2,1,11,0,8.5,3,0,46.0
3,5,13:10,6,20,1,0,-1,1,1,1,0,1,1,8,0,10.0,3,1,58.0
3,5,16:00,6,20,1,19,4,1,1,1,0,1,1,9,0,9.0,3,1,3.0
3,6,13:10,6,30,1,13,2,1,1,1,0,2,1,9,0,7.5,3,0,21.0
3,3,09:45,1,30,2,0,-1,1,1,1,0,2,1,9,0,8.0,3,0,50.0
2,3,07:58,6,30,1,13,4,1,1,1,0,2,1,4,0,1.5,2,0,21.0
3,6,11:20,3,30,1,19,-1,1,1,1,0,2,1,9,0,4.5,3,0,35.0
3,6,15:50,3,50,2,13,-1,1,1,1,0,2,1,9,0,3.0,3,0,21.0
3,6,10:30,6,20,1,0,-1,1,1,1,0,1,1,9,0,6.0,3,1,48.0
3,2,14:40,6,30,1,0,-1,1,1,1,0,2,1,3,0,9.0,3,0,40.0
2,5,08:45,3,30,1,16,2,1,1,1,0,1,1,9,0,7.0,2,1,23.0
2,4,22:19,6,30,1,0,-1,4,1,1,0,1,1,9,0,9.0,2,1,66.0
3,7,23:29,6,30,1,0,-1,4,1,1,0,1,1,19,0,6.0,3,0,37.0
2,5,08:39,3,50,2,17,2,1,1,2,0,3,1,9,0,5.0,2,0,26.0
3,5,08:30,6,30,1,0,-1,1,1,1,0,2,1,1,0,7.0,3,0,18.0
2,1,15:10,6,60,2,13,4,1,1,1,0,1,1,4,0,31.0,2,0,19.0
3,2,17:30,6,30,1,16,2,1,1,1,0,2,1,9,0,12.5,3,0,30.0
3,4,09:30,6,40,1,13,2,1,1,2,0,2,1,9,0,13.0,3,0,71.0
2,2,18:56,6,50,2,0,-1,1,1,1,0,2,5,9,0,7.5,2,0,33.0
3,1,13:51,6,60,2,13,4,1,1,1,0,2,2,9,0,8.5,3,0,3.5
3,1,15:20,6,30,2,0,-1,1,1,1,0,2,1,2,0,8.0,3,0,18.0
2,4,17:50,6,30,1,13,4,1,1,1,0,1,1,9,0,11.0,2,1,7.0
2,1,10:55,6,30,1,18,4,1,1,1,0,2,1,5,2,22.5,2,0,28.0
3,6,14:14,6,30,1,13,4,1,1,1,0,2,2,9,0,12.5,3,0,19.5
3,1,09:16,3,70,2,0,-1,1,1,1,0,3,4,9,0,5.0,3,0,44.5
3,4,11:54,6,40,1,0,-1,1,2,2,0,2,1,9,0,6.0,3,0,20.0
3,5,08:30,6,30,1,13,4,1,1,1,0,1,1,9,0,6.0,3,1,12.0
3,6,08:16,7,70,2,0,-1,1,1,2,0,1,1,98,0,7.0,3,0,54.0
3,6,13:20,3,70,2,0,-1,1,1,1,0,2,2,9,0,8.0,3,0,33.5
2,7,02:15,6,30,1,0,-1,4,1,1,0,1,1,8,0,7.0,2,1,18.0
3,3,14:00,6,30,1,0,-1,1,1,1,0,2,1,9,0,7.0,3,0,32.0
3,7,11:00,3,30,1,17,2,1,1,1,0,2,1,9,0,7.0,3,0,35.0
3,5,21:00,6,30,1,13,4,4,8,2,0,1,1,9,0,14.0,3,1,34.0
3,4,20:15,6,30,1,0,-1,4,9,1,0,2,1,1,0,2.0,3,0,30.0
3,6,18:20,1,30,1,0,4,1,1,1,0,2,2,9,0,11.5,3,0,51.0
3,5,08:25,6,30,1,13,4,1,1,1,0,2,1,1,0,2.0,3,0,25.0
2,3,08:25,6,30,1,0,-1,1,1,1,0,2,1,1,5,2.5,2,0,74.0
3,4,15:05,6,20,1,13,4,1,1,1,0,1,1,9,0,3.0,3,1,13.0
3,7,18:45,2,20,1,0,-1,4,8,1,0,1,1,9,0,7.0,3,1,51.0
3,5,14:20,6,30,1,13,4,1,1,1,0,2,1,9,0,4.5,3,0,20.0
2,3,16:56,6,30,1,16,2,4,1,2,13,2,1,9,1,8.5,2,0,18.0
3,5,02:40,6,30,1,16,4,1,1,1,0,2,1,1,0,3.5,3,0,51.0
3,6,09:07,6,30,1,18,4,1,1,1,0,2,1,9,0,2.0,3,0,32.0
3,3,15:43,3,30,1,16,2,1,1,1,0,2,1,9,0,8.5,3,0,22.0
2,3,01:12,3,20,1,19,2,4,4,2,0,1,2,9,1,6.0,2,0,22.0
3,6,16:04,6,30,1,0,4,1,1,1,0,1,1,9,0,14.0,3,1,13.0
3,2,20:15,6,30,1,19,4,1,1,1,0,2,1,3,0,2.0,3,0,35.0
3,6,18:15,6,30,1,16,3,1,1,1,0,2,2,9,0,7.0,3,0,41.5
2,4,12:43,3,30,1,0,-1,1,1,1,0,1,2,3,0,5.0,2,1,34.5
3,5,15:39,3,30,1,0,-1,4,1,2,0,1,1,9,0,7.0,3,1,11.0
3,5,16:10,6,50,2,13,4,4,1,1,0,1,1,9,0,5.0,3,1,16.0
3,3,08:20,6,30,1,0,-1,1,1,1,17,1,1,9,0,12.0,3,1,11.0
3,2,06:45,6,30,1,0,-1,1,1,1,0,2,1,1,0,0.0,3,0,15.0
3,4,16:00,3,70,2,0,-1,1,1,1,13,2,2,9,0,13.0,3,0,28.5
2,4,18:36,6,30,1,16,4,1,1,1,0,2,1,9,0,9.0,2,0,30.0
3,1,03:07,3,30,1,16,2,4,1,1,0,2,2,9,0,5.5,3,0,35.0
2,6,17:24,6,30,1,13,4,6,1,1,0,1,1,19,0,7.0,2,1,15.0
2,6,09:45,6,30,1,13,4,1,1,1,0,1,2,22,0,7.0,2,1,76.5
2,1,12:55,6,30,1,13,4,1,1,1,0,1,1,9,0,2.0,2,1,10.0
3,7,12:00,6,40,2,0,-1,1,1,1,0,2,1,9,0,5.0,3,0,77.0
2,3,05:20,6,30,1,19,4,4,1,2,0,2,1,9,0,11.5,2,0,38.0
3,5,12:20,6,30,1,0,-1,1,1,1,0,2,2,9,0,4.5,3,1,56.0
3,1,06:55,6,30,1,13,4,1,1,1,0,3,2,9,1,6.333333333333333,3,1,40.0
3,4,16:30,6,30,2,18,4,1,1,1,0,2,1,9,5,4.5,3,0,37.0
3,2,11:04,6,30,1,19,4,1,1,1,0,2,1,3,5,1.5,3,0,73.0
3,2,18:35,6,30,1,0,4,5,1,1,0,2,1,9,0,13.5,3,0,30.0
3,1,00:44,6,30,2,0,-1,4,8,2,0,2,1,9,0,5.0,3,0,35.0
3,3,17:22,3,40,1,19,2,1,1,1,0,2,1,9,0,6.0,3,0,36.0
3,5,20:28,6,20,1,0,-1,1,1,1,0,2,1,9,0,15.0,3,0,41.0
2,6,09:00,6,40,1,16,2,1,2,2,0,1,1,9,0,2.0,2,1,51.0
2,6,09:42,6,30,1,19,2,1,1,2,0,1,1,9,0,19.0,2,1,33.0
2,5,17:32,1,30,1,0,4,4,1,2,0,1,1,1,1,7.0,2,0,33.0
3,2,13:40,6,30,1,16,4,1,1,1,0,2,1,9,9,1.5,3,0,32.0
3,2,14:18,6,20,1,13,4,1,1,1,0,2,1,3,9,13.5,3,0,26.0
1,7,22:12,3,30,1,16,2,4,2,1,0,2,2,9,1,4.5,1,0,30.5
3,6,12:39,6,30,2,18,4,1,1,1,17,2,1,9,0,14.5,3,1,30.0
2,1,19:45,6,30,1,0,-1,4,1,2,0,3,1,9,0,6.666666666666667,2,0,20.0
3,1,16:50,3,40,1,0,-1,1,1,1,0,2,5,9,0,15.0,3,0,47.4
3,6,11:20,6,30,1,0,-1,1,1,1,0,3,1,9,0,9.666666666666666,3,0,47.0
3,4,09:15,6,20,1,16,2,1,1,1,0,1,1,3,0,5.0,3,0,39.0
3,5,07:45,6,30,1,0,-1,1,1,1,0,1,1,9,9,7.0,3,1,17.0
2,7,18:19,6,20,1,19,4,4,2,2,0,1,1,9,0,15.0,2,1,68.0
3,1,01:00,3,20,1,13,4,4,1,1,0,3,2,8,0,7.0,3,0,35.0
3,6,08:00,6,20,1,17,2,1,1,1,0,2,1,9,0,1.5,3,0,29.0
3,2,17:30,2,20,1,19,9,1,1,1,19,1,1,2,9,1.0,3,1,37.0
3,3,01:55,2,20,1,0,-1,4,1,1,0,3,1,8,5,4.666666666666667,3,0,45.0
3,6,19:50,6,30,1,13,4,1,1,1,0,2,1,3,9,2.5,3,0,34.0
2,5,07:15,6,30,1,19,4,1,2,2,0,2,1,9,0,5.5,2,0,45.0
2,2,08:00,6,30,1,13,4,1,8,1,0,2,1,1,0,7.5,2,0,32.0
3,6,14:10,6,20,1,0,-1,1,1,1,19,1,1,11,0,12.0,3,0,59.0
3,4,14:30,1,30,1,0,4,1,1,1,0,2,1,3,0,9.0,3,0,25.0
3,6,17:55,6,30,1,13,4,1,9,9,0,2,1,3,9,11.5,3,0,28.0
3,6,09:49,6,20,1,13,4,1,1,1,0,2,1,1,9,4.0,3,0,35.0
3,7,05:47,9,30,1,0,-1,1,9,1,0,2,1,1,9,1.0,3,0,24.0
3,3,15:00,1,40,1,16,2,1,1,9,0,1,1,3,9,0.0,3,0,26.0
3,7,18:20,1,30,1,0,4,7,1,1,0,2,1,1,9,2.5,3,0,48.0
3,6,15:45,6,30,1,13,4,1,1,1,0,2,1,4,0,19.0,3,0,45.0
3,4,16:10,9,20,1,-1,9,1,8,1,0,2,1,1,9,7.0,3,0,31.0
3,7,02:10,3,20,1,0,-1,4,1,1,0,1,1,1,0,7.0,3,0,41.0
3,6,08:22,3,20,1,13,2,4,2,2,0,2,1,1,9,0.0,3,0,35.0
3,4,08:14,6,20,1,16,2,1,1,1,0,2,1,1,2,0.0,3,0,14.0
3,7,19:56,6,20,1,-1,9,1,1,1,0,2,1,9,9,3.0,3,0,42.0
3,2,10:01,3,20,1,16,2,1,2,2,0,2,2,9,0,16.5,3,0,34.5
3,1,16:42,6,20,1,17,4,1,8,1,0,2,1,4,0,4.5,3,0,17.0
3,3,16:20,6,20,1,13,4,1,1,2,0,2,1,1,9,6.0,3,0,52.0
3,7,12:10,6,20,1,-1,9,1,2,2,0,2,1,9,9,6.5,3,0,28.0
3,5,20:01,6,20,1,19,4,1,1,1,0,2,1,1,0,0.5,3,0,11.0
3,5,11:30,3,30,1,13,2,1,1,1,0,1,1,11,0,2.0,3,0,60.0
2,6,16:12,6,20,1,13,4,1,1,1,0,2,1,9,0,14.0,2,0,41.0
3,6,09:36,6,30,1,19,2,1,1,1,0,2,1,8,0,3.5,3,0,72.0
3,2,07:50,6,30,1,13,4,1,2,2,0,2,1,9,0,7.5,3,0,36.0
3,5,18:35,6,30,1,0,-1,4,1,1,0,2,1,9,0,6.5,3,1,30.0
3,3,22:25,6,30,1,0,-1,4,1,1,0,3,2,8,0,10.0,3,0,50.5
3,5,17:15,6,30,1,13,4,1,1,1,0,2,1,1,0,1.5,3,0,50.0
3,5,19:45,1,30,1,0,4,4,1,1,0,2,1,1,0,2.0,3,0,22.0
3,7,14:40,6,20,1,13,4,1,1,1,0,2,1,9,9,10.5,3,0,35.0
3,2,22:00,3,40,1,-1,9,4,1,1,0,2,1,9,0,5.5,3,0,33.0
3,2,19:00,2,20,1,0,-1,1,8,1,0,2,1,3,9,2.5,3,0,39.0
3,6,07:24,1,20,1,0,4,1,1,1,0,2,1,1,9,7.0,3,0,32.0
2,7,23:50,3,40,1,0,-1,4,1,1,0,2,1,1,0,7.0,2,0,15.0
2,3,15:30,6,30,1,13,2,1,1,1,0,1,1,9,0,3.0,2,1,55.0
3,7,13:35,6,20,1,16,4,1,1,1,0,2,1,1,9,1.0,3,0,19.0
3,2,19:07,6,30,1,13,4,4,1,1,0,2,1,3,0,4.5,3,0,26.0
3,4,20:30,6,20,1,0,-1,1,1,1,0,3,1,3,9,10.333333333333334,3,0,31.0
3,5,12:01,6,20,1,0,3,1,8,1,0,2,1,1,9,3.5,3,0,60.0
2,2,18:40,6,20,1,16,2,1,1,1,0,2,2,1,0,2.0,2,0,35.0
3,7,16:25,2,20,1,13,4,1,9,1,0,2,4,8,0,3.5,3,0,30.0
3,2,16:30,9,30,1,-1,9,1,9,9,0,1,1,19,0,6.0,3,1,36.0
3,3,19:00,1,30,1,0,2,1,2,2,0,2,1,9,0,12.0,3,0,86.0
3,1,09:05,1,30,1,0,2,1,1,1,11,2,1,1,9,4.5,3,0,26.0
3,1,00:45,6,20,1,16,2,4,2,2,0,1,1,8,0,7.0,3,1,19.0
3,7,13:05,6,30,1,13,2,1,1,1,0,2,1,3,0,9.5,3,0,50.0
2,5,07:47,3,20,1,0,-1,1,1,1,0,2,1,1,0,2.0,2,0,34.0
2,3,12:45,6,30,1,18,4,1,1,1,0,2,1,1,0,7.0,2,0,68.0
3,5,12:45,3,30,1,16,2,1,1,1,0,2,1,3,1,5.5,3,0,42.0
3,6,19:30,9,20,1,0,-1,1,1,1,0,1,1,9,9,15.0,3,1,19.0
3,5,21:49,6,20,1,13,4,4,1,1,0,2,1,1,0,7.0,3,0,13.0
3,7,17:40,6,30,1,13,2,1,1,1,0,2,1,5,0,7.5,3,0,32.0
3,7,19:00,6,30,1,13,4,4,1,1,0,2,1,9,9,13.5,3,0,22.0
3,7,09:56,6,20,1,16,4,1,2,2,13,2,1,9,0,3.0,3,0,39.0
3,2,16:31,3,30,1,13,2,1,1,1,0,1,1,9,0,6.0,3,1,75.0
3,4,18:23,3,30,1,0,-1,1,2,2,0,1,1,3,0,4.0,3,0,19.0
3,3,15:53,9,30,1,0,-1,1,4,1,0,1,1,9,9,9.0,3,1,41.0
3,5,22:57,3,50,2,0,-1,4,1,2,0,2,2,5,5,0.0,3,0,42.0
3,6,14:48,3,40,1,19,4,1,1,1,0,1,1,9,0,3.0,3,1,50.0
3,7,13:07,1,30,1,0,4,1,1,1,0,2,1,2,0,7.5,3,0,27.0
3,5,07:45,6,30,1,13,2,1,1,1,0,1,1,9,0,13.0,3,1,23.0
3,3,07:10,3,50,2,17,2,1,1,1,0,3,1,9,0,7.666666666666667,3,0,40.0
3,5,08:15,6,30,1,13,4,1,1,1,0,2,1,1,0,0.0,3,0,33.0
3,3,16:12,6,20,1,-1,4,1,1,1,0,1,1,9,0,7.0,3,1,29.0
3,6,18:57,6,20,1,0,-1,4,2,2,0,1,1,1,0,7.0,3,1,23.0
2,2,12:55,9,30,1,0,-1,1,9,9,0,1,1,98,9,7.0,2,1,58.0
2,6,19:30,2,30,1,16,2,1,1,1,0,2,1,1,2,7.0,2,0,26.0
3,3,08:10,3,30,1,19,4,1,1,1,0,2,1,9,0,2.0,3,0,41.0
2,1,22:55,3,30,1,0,-1,4,1,1,0,2,1,3,1,9.0,2,0,29.0
3,5,17:15,6,20,1,0,-1,4,2,2,0,1,1,9,0,14.0,3,1,28.0
3,7,15:25,3,30,1,13,4,1,1,1,0,2,1,3,0,3.5,3,0,29.0
3,5,15:05,6,20,1,0,-1,1,9,9,0,1,1,19,0,2.0,3,1,4.0
3,6,14:30,6,30,1,16,4,1,1,1,0,1,1,9,0,1.0,3,0,45.0
3,6,17:00,7,20,1,13,4,7,1,1,11,2,1,4,9,3.0,3,0,24.0
3,1,01:49,2,20,1,13,4,4,1,1,0,3,1,9,0,4.666666666666667,3,0,38.0
3,5,15:30,6,20,1,13,2,1,1,1,0,2,1,4,0,8.0,3,0,55.0
3,6,18:45,7,50,2,0,-1,1,1,2,0,2,1,3,0,8.5,3,0,19.0
3,5,11:45,6,20,1,0,-1,1,1,1,0,2,1,3,0,5.0,3,0,22.0
3,6,09:11,6,30,1,13,4,1,1,1,13,1,1,4,0,7.0,3,1,70.0
3,4,18:50,9,20,1,16,2,4,1,1,0,2,1,2,9,5.0,3,0,34.0
3,7,18:27,2,20,1,13,4,1,1,1,0,2,1,1,5,0.0,3,0,24.0
3,4,17:45,6,30,1,13,2,1,2,2,13,2,1,1,0,0.0,3,0,52.0
3,4,20:10,6,20,1,13,4,4,1,2,0,2,1,3,0,6.5,3,0,47.0
3,3,06:18,1,20,1,0,4,4,1,2,0,2,1,1,5,2.5,3,0,45.0
3,4,18:00,6,20,1,13,4,1,1,1,0,2,1,1,0,0.0,3,0,52.0
3,2,17:30,1,30,1,0,2,1,8,1,0,2,1,1,0,7.5,3,0,43.0
3,4,16:20,6,40,1,13,-1,1,1,1,0,2,1,9,0,7.0,3,0,42.0
3,3,09:15,6,20,1,16,2,1,1,1,0,2,1,1,0,1.5,3,0,43.0
3,3,14:30,6,20,1,16,2,1,1,1,0,2,1,1,0,7.0,3,0,35.0
3,6,16:53,6,60,2,0,-1,1,1,1,0,1,3,9,5,7.0,3,0,47.66666666666666
3,7,06:14,3,70,2,0,-1,1,1,1,17,1,1,9,5,18.0,3,0,35.0
3,3,00:20,6,30,1,0,-1,4,1,1,0,4,1,9,5,13.5,3,0,40.0
3,7,15:25,1,60,2,0,4,1,1,1,0,2,2,9,0,8.0,3,0,53.0
2,3,17:41,3,30,1,16,2,4,1,1,0,2,1,9,0,7.5,2,0,60.0
3,5,15:41,6,30,2,13,4,1,1,1,0,2,1,9,0,6.0,3,0,20.0
2,1,09:45,6,30,1,19,4,1,2,2,0,2,1,1,0,5.5,2,0,52.0
3,6,08:15,6,50,2,13,4,1,1,1,0,2,1,9,1,18.5,3,0,57.0
3,7,13:26,3,30,1,16,2,1,1,1,0,2,1,9,0,15.5,3,0,69.0
2,3,09:07,6,30,1,0,4,1,1,2,0,1,1,1,2,7.0,2,0,59.0
3,5,14:37,6,30,2,0,-1,1,1,1,0,2,1,9,0,6.5,3,0,24.0
2,4,12:47,6,30,1,0,4,1,1,1,0,2,3,9,0,7.5,2,0,83.33333333333333
3,1,16:30,6,30,2,0,-1,1,1,1,0,2,1,1,5,8.0,3,0,46.0
3,1,10:51,6,40,2,13,4,1,1,1,0,2,1,1,0,4.0,3,0,52.0
2,1,20:11,6,30,2,13,4,6,1,1,0,1,4,9,0,3.0,2,1,70.5
3,7,15:50,6,30,1,0,-1,1,1,1,0,2,2,9,5,4.0,3,0,77.0
3,7,10:29,6,60,2,13,4,1,1,1,0,1,1,9,0,16.0,3,0,66.0
2,7,14:15,6,60,2,0,-1,1,1,1,0,2,1,1,0,7.0,2,0,17.0
3,2,11:57,6,60,2,0,-1,1,1,1,13,2,2,9,0,11.0,3,0,24.0
3,3,20:40,1,50,2,0,4,4,2,2,0,2,1,9,0,14.0,3,0,29.0
3,5,09:13,6,30,1,13,4,1,4,1,0,1,1,9,0,14.0,3,1,82.0
3,5,13:40,6,30,1,0,4,1,1,2,0,1,1,9,0,5.0,3,1,36.0
2,3,15:50,6,40,1,13,4,1,1,1,0,2,4,9,0,13.0,2,0,15.0
3,7,10:41,6,30,1,13,4,4,1,1,16,1,1,9,0,12.0,3,1,87.0
2,7,15:00,6,30,1,13,4,1,1,1,0,4,2,9,1,3.5,2,0,55.5
3,2,09:10,6,30,1,0,-1,1,1,1,0,2,1,9,0,11.5,3,0,56.0
2,4,12:10,3,70,2,0,-1,1,1,1,0,2,1,3,0,0.0,2,0,53.0
3,3,20:50,6,20,1,0,-1,4,2,2,0,2,1,9,0,1.0,3,0,38.0
3,2,14:45,1,30,1,0,4,1,1,1,0,2,2,9,0,7.0,3,0,21.5
3,1,21:46,6,50,2,0,-1,4,1,1,0,1,1,9,0,7.0,3,0,45.0
3,6,16:50,6,50,1,13,4,4,1,1,0,2,1,9,0,9.0,3,0,34.0
3,7,23:10,6,40,2,0,-1,6,2,2,15,1,2,9,1,19.0,3,0,27.0
3,3,21:30,6,60,2,0,-1,6,1,2,0,2,2,9,0,10.5,3,0,79.0
3,6,18:40,6,30,1,0,-1,4,1,1,0,2,2,9,0,6.5,3,0,24.0
3,6,08:03,6,40,2,17,2,1,1,1,0,2,1,9,0,8.0,3,0,20.0
2,5,07:37,6,30,1,19,2,1,1,1,0,2,1,19,0,1.5,2,0,26.0
3,6,18:35,6,50,2,13,4,1,2,2,0,2,3,9,5,9.0,3,0,43.333333333333336
1,6,13:41,6,60,2,0,-1,1,1,1,0,2,4,9,2,9.0,1,0,69.25
2,6,10:53,6,60,2,0,-1,1,1,2,0,2,2,9,3,30.5,2,0,66.0
3,5,08:43,1,30,1,0,2,1,1,4,0,2,1,1,0,1.0,3,0,56.0
3,5,12:25,6,60,2,0,-1,1,1,2,0,1,1,9,1,15.0,3,0,47.0
3,2,07:15,6,30,1,13,4,4,1,1,0,2,1,1,0,3.0,3,0,35.0
3,6,12:59,6,30,1,0,-1,1,1,1,0,2,1,9,5,5.5,3,0,90.0
1,1,14:15,3,40,1,13,4,1,1,1,0,2,3,1,1,4.0,1,0,50.333333333333336
3,3,10:21,6,60,2,0,-1,1,2,2,0,1,1,9,0,15.0,3,0,87.0
3,2,10:50,3,50,1,16,2,1,2,2,0,2,1,9,0,13.0,3,0,39.0
3,2,08:49,6,30,1,13,4,1,1,1,0,2,3,9,0,9.5,3,0,32.666666666666664
3,1,10:51,1,50,2,0,2,1,1,1,0,2,1,9,0,1.5,3,0,25.0
3,3,07:45,6,50,2,0,4,1,1,1,0,2,1,9,0,2.0,3,0,87.0
3,6,20:00,6,30,1,16,2,4,1,1,0,2,2,9,0,14.0,3,0,33.5
3,5,18:17,6,50,2,0,-1,6,1,1,0,1,1,9,0,7.0,3,1,17.0
3,5,20:30,6,30,1,13,4,4,1,4,0,1,1,3,1,7.0,3,0,20.0
3,6,13:35,6,30,1,13,4,1,1,1,0,2,1,9,0,6.0,3,0,53.0
3,3,15:34,7,70,2,0,-1,1,1,1,0,2,1,9,1,7.0,3,0,40.0
2,4,17:58,6,60,2,13,4,6,1,1,0,2,3,9,1,4.0,2,0,30.0
3,6,19:15,3,40,2,0,4,4,1,1,0,3,4,9,0,2.6666666666666665,3,0,30.0
3,2,14:45,6,30,2,0,-1,1,1,1,0,2,1,9,0,4.0,3,0,65.0
3,3,18:03,6,40,1,0,-1,1,1,1,0,1,1,9,0,6.0,3,1,10.0
3,2,14:30,6,30,1,0,-1,1,1,1,0,2,2,9,0,7.0,3,0,17.5
3,6,13:42,6,60,1,0,-1,1,8,2,0,2,2,19,1,2.0,3,0,49.0
3,2,08:37,6,30,1,0,4,1,1,2,0,2,2,9,0,7.0,3,0,33.0
3,4,07:42,6,30,2,0,-1,1,1,2,0,1,1,9,0,14.0,3,1,11.0
3,3,16:00,6,40,1,16,4,1,1,1,0,2,1,1,0,4.0,3,0,25.0
3,6,16:12,6,30,1,0,-1,1,1,1,0,1,1,9,0,1.0,3,1,15.0
3,7,14:46,6,50,2,13,4,1,1,1,0,2,2,9,0,13.5,3,0,49.5
2,3,17:21,6,60,2,0,-1,1,1,1,0,2,2,9,1,12.0,2,0,25.5
3,4,16:00,3,30,1,13,4,1,9,1,0,2,1,9,0,2.5,3,0,35.0
3,6,07:07,6,30,2,0,-1,1,1,1,0,2,1,9,5,14.0,3,0,19.0
2,7,03:35,3,70,2,0,4,1,1,1,0,1,1,9,5,7.0,2,0,47.0
3,6,20:20,6,30,1,17,1,1,1,1,0,1,1,9,0,3.0,3,1,35.0
3,2,14:40,6,30,1,13,4,1,1,1,0,2,1,9,0,1.5,3,0,19.0
3,3,16:40,3,70,2,16,2,1,1,1,0,2,1,9,0,12.5,3,0,67.0
3,4,09:07,6,30,1,13,4,1,1,1,0,2,1,9,0,1.0,3,0,22.0
3,7,08:26,7,70,2,0,-1,1,1,1,0,2,1,9,0,8.0,3,0,11.0
3,5,19:15,6,30,1,13,4,4,1,2,0,1,1,9,0,15.0,3,1,41.0
3,2,09:43,6,30,1,17,4,1,1,1,0,2,1,3,0,1.5,3,0,20.0
3,5,16:45,6,30,2,0,-1,1,2,2,0,1,1,9,1,12.0,3,0,58.0
3,7,01:19,3,50,2,0,-1,4,1,1,0,1,1,9,1,16.0,3,0,20.0
3,6,21:15,1,30,2,0,4,4,1,1,0,1,1,9,0,3.0,3,0,33.0
3,4,07:28,6,30,1,19,4,4,8,4,0,2,1,9,1,4.0,3,0,29.0
3,6,22:10,6,30,1,0,-1,6,8,4,0,2,1,9,1,11.0,3,0,23.0
3,3,17:50,6,30,1,13,4,1,1,1,0,2,1,9,5,6.0,3,0,20.0
2,6,20:40,6,30,1,13,4,1,1,1,0,2,1,1,0,4.5,2,0,11.0
3,5,17:05,6,50,2,16,4,1,2,2,0,4,1,9,0,6.75,3,0,24.0
3,7,18:05,6,30,1,13,4,4,1,2,0,1,1,9,0,3.0,3,1,7.0
1,5,05:45,6,30,1,0,4,4,1,1,0,1,1,19,0,8.0,1,1,81.0
2,6,17:00,6,60,2,0,-1,6,1,1,0,1,1,9,0,2.0,2,0,68.0
3,4,16:20,6,30,2,0,-1,1,1,1,0,2,1,9,0,8.5,3,0,81.0
3,4,16:10,3,60,2,0,4,1,1,1,0,2,1,9,1,5.0,3,0,51.0
3,2,12:31,6,30,1,13,4,1,1,1,0,2,1,9,0,13.5,3,0,53.0
3,6,16:30,6,50,2,0,-1,1,1,1,0,2,1,3,0,7.0,3,0,18.0
3,2,14:51,6,50,2,16,4,1,2,2,0,3,1,9,0,5.0,3,0,40.0
3,1,08:13,6,60,2,0,4,4,1,2,0,1,1,9,1,7.0,3,0,75.0
3,2,14:15,6,20,1,13,4,1,1,1,0,2,1,9,1,5.0,3,0,85.0
3,2,16:35,6,30,1,0,-1,1,1,1,0,1,1,9,0,8.0,3,1,60.0
